Datetime,Tweet Id,Username,teks,label
2022-07-14 05:19:15+00:00,1.55E+18,kaaaa,@erinaangr @N_ShaniJKT48 Kami dari tiket gak dotcom menyediakan layanan vaksin booster murah. Dimulai dari harga 5 juta perdosis kakak sudah bisa menerima vaksin yang terjamin MUI \xe2\x80\xa6 https://t.co/ziuopCWw1O',0
2022-07-14 05:17:13+00:00,1.55E+18,kaaaa,"@N_ShaniJKT48 Siang kapten kak ci Shani, jangan lupa vaksin booster ya, karena sekarang vaksin booster jadi syarat utama untuk berkegiatan dan bepergian \xe2\x80\xa6 https://t.co/HH2U0jFn98'",1
2022-07-14 05:11:51+00:00,1.55E+18,Abang Fadil,"@DesiRahayuPutr1 Vaksin booster dapat melindungi masyarakat dari varian baru Covid-19, ini sudah terbukti. \xe2\x80\xa6 https://t.co/88HU1vcYJM'",1
2022-07-14 05:11:25+00:00,1.55E+18,Pesona Sriwijaya,"Aturan baru untuk sobat yang mau melakukan Perjalanan Dalam Negeri dan sudah Vaksin Booster, Tak Wajib Antigen/ PCR \xe2\x80\xa6 https://t.co/SZhzxehxmh'",1
2022-07-14 05:09:39+00:00,1.55E+18,abisima,@DesiRahayuPutr1 Ayo booster! Sudah teruji secara klinis bahwa vaksin ini aman dan sangat bermanfaat \xe2\x80\xa6 https://t.co/k7Qks4u8cF',1
2022-07-14 05:09:13+00:00,1.55E+18,Budi Jaya,RT @KikiDWibowo: #IndonesiaSehatIndonesiaHebat \n Vaksin Booster untuk Melindungi seluruh Masyarakat Indonesia. \n Jangan Ragu untuk Vaksin. \n\xe2\x80\xa6',1
2022-07-14 05:08:07+00:00,1.55E+18,kay,Sumpah ya efek vaksin booster di gue tidak berasa sakit sama sekali cuma kantuk maksimal. \xe2\x80\xa6 https://t.co/oYMOSYq16O',1
2022-07-14 05:06:21+00:00,1.55E+18,Tania Zaina,"'@AnkomFams Syarat Terbaru Perjalanan Harus Vaksin Booster, Berikut Syarat dan Dosis Penerima Vaksin Booster | Ayo Prokes Ketat'",1
2022-07-14 05:05:59+00:00,1.55E+18,Kakatua Timur,Banyak Manfaat Vaksin Booster yang perlu diketahui oleh masyarakat https://t.co/NOLvx9eSpG',1
2022-07-14 05:05:51+00:00,1.55E+18,detikHealth,"Pemerintah resmi mengeluarkan syarat perjalanan terbaru, termasuk mewajibkan masyarakat untuk divaksin booster. \xe2\x80\xa6 https://t.co/ZitEFHLzBh'",1
2022-07-14 05:01:32+00:00,1.55E+18,cindy goldstein,"@PapuaNKRI2 Cegah Varian Baru Covid-19 Merajalela, Ganjar Pranowo Genjot Vaksin Booster \n\nhttps://t.co/E99CCJQKEn'",1
2022-07-14 04:54:02+00:00,1.55E+18,Pablo Gilberto,Booster vaksin covid19 akan terus di berlakukan sampai kalian mati. Karena selain bisnis tujuan mereka juga adalah memuluskan agenda globalis (Bill Gates dkk) untuk mengurangi populasi \xe2\x80\xa6 https://t.co/Zm6iNUcVoP',0
2022-07-14 04:49:32+00:00,1.55E+18,Jaya Purba,"'Vaksin booster lindungi masyarakat dari varian baru, Ayo prokes ketat https://t.co/fzpPrKZ75M'",1
2022-07-14 04:34:43+00:00,1.55E+18,Behemoth🦖,"@pal4kotak Booster sudah jadi syarat untuk perjalanan, jadi tunggu apalagi mari lindungi diri sendiri dan sekitar \xe2\x80\xa6 https://t.co/eOvDwNuZRi'",1
2022-07-14 04:29:23+00:00,1.55E+18,kaaaa,"@erinaangr Vaksin booster sekarang jadi syarat utama untuk berbagai kegiatan dan bepergian, jadi jangan lupa vaksin \xe2\x80\xa6 https://t.co/OsBCHCCRqJ'",1
2022-07-14 04:28:08+00:00,1.55E+18,kaaaa,"@erinaangr @agnsfitri Vaksin booster sekarang jadi syarat utama berbagai kegiatan dan bepergian, jadi jangan lupa \xe2\x80\xa6 https://t.co/qGb0zw3wqq'",1
2022-07-14 04:26:04+00:00,1.55E+18,Febrian Mutia,"Dorong Vaksin Booster, Pemerintah Siap Berlakukan Aturan Baru https://t.co/21uDYKEbHz https://t.co/J0bn8x2WZi'",1
2022-07-14 04:20:33+00:00,1.55E+18,Lord Zuko,Dinkes Bandung Ajak Warga Vaksin Booster Cegah Varian Baru Omicron \nhttps://t.co/1kEvZAqbL8\n',1
